ward code,ward name,local authority code,local authority name,All Households,deprived in: no dimensions,1 dimension,2 dimensions,3 dimensions,4 dimensions
E05013577,Ruislip,E09000017,Hillingdon,6237,3402,2012,687,131,5
E05013578,Ruislip Manor,E09000017,Hillingdon,4162,2276,1381,435,68,2
E05013579,South Ruislip,E09000017,Hillingdon,6212,3222,2069,769,141,11
E05013580,Uxbridge,E09000017,Hillingdon,6500,3047,2232,945,255,21
E05013581,West Drayton,E09000017,Hillingdon,6534,2853,2255,1085,330,11
E05013582,Wood End,E09000017,Hillingdon,6186,2157,2299,1319,367,44
E05013583,Yeading,E09000017,Hillingdon,4777,1745,1835,910,266,21
E05013584,Yiewsley,E09000017,Hillingdon,4555,1793,1693,809,240,20
E05013606,Bedfont,E09000018,Hounslow,5380,2028,2088,962,276,26
E05013607,Brentford East,E09000018,Hounslow,3658,1567,1246,615,210,20
E05013608,Brentford West,E09000018,Hounslow,3637,1849,1181,469,121,17
E05013609,Chiswick Gunnersbury,E09000018,Hounslow,5759,3307,1671,572,182,27
E05013610,Chiswick Homefields,E09000018,Hounslow,5876,3656,1622,478,114,6
E05013611,Chiswick Riverside,E09000018,Hounslow,4271,2602,1150,399,105,15
E05013612,Cranford,E09000018,Hounslow,4990,1626,1982,1048,308,26
E05013613,Feltham North,E09000018,Hounslow,4206,1530,1620,834,206,16
E05013614,Feltham West,E09000018,Hounslow,5684,2375,2067,947,277,18
E05013615,Hanworth Park,E09000018,Hounslow,3743,1588,1387,612,144,12
E05013616,Hanworth Village,E09000018,Hounslow,5739,2182,2110,1127,284,36
E05013617,Heston Central,E09000018,Hounslow,4327,1596,1706,792,210,23
E05013618,Heston East,E09000018,Hounslow,3653,1464,1406,627,150,6
E05013619,Heston West,E09000018,Hounslow,4600,1600,1740,988,257,15
E05013620,Hounslow Central,E09000018,Hounslow,3622,1381,1449,599,175,18
E05013621,Hounslow East,E09000018,Hounslow,3085,1245,1146,547,129,18
E05013622,Hounslow Heath,E09000018,Hounslow,5166,1817,2017,1029,273,30
E05013623,Hounslow South,E09000018,Hounslow,4849,2376,1658,674,133,8
E05013624,Hounslow West,E09000018,Hounslow,4874,1598,1986,998,272,20
E05013625,Isleworth,E09000018,Hounslow,5528,2698,1744,855,218,13
E05013626,Osterley & Spring Grove,E09000018,Hounslow,5252,2770,1760,606,98,18
E05013627,Syon & Brentford Lock,E09000018,Hounslow,5077,2560,1546,713,232,26
E05013697,Arsenal,E09000019,Islington,6003,3224,1792,731,230,26
E05013698,Barnsbury,E09000019,Islington,5626,3054,1526,744,274,28
E05013699,Bunhill,E09000019,Islington,5080,2487,1575,748,244,26
E05013700,Caledonian,E09000019,Islington,4909,2041,1649,848,358,13
E05013701,Canonbury,E09000019,Islington,5791,2793,1713,932,335,18
E05013702,Clerkenwell,E09000019,Islington,4934,2496,1405,726,292,15
E05013703,Finsbury Park,E09000019,Islington,5977,2398,1996,1114,440,29
E05013704,Highbury,E09000019,Islington,6093,3484,1630,740,226,13
E05013705,Hillrise,E09000019,Islington,6395,2850,2085,1062,364,34
E05013706,Holloway,E09000019,Islington,5228,2298,1743,871,301,15
E05013707,Junction,E09000019,Islington,5889,2712,1959,862,327,29
E05013708,Laycock,E09000019,Islington,5671,2564,1717,963,397,30
E05013709,Mildmay,E09000019,Islington,6114,2948,1780,978,371,37
E05013710,St Mary's & St James',E09000019,Islington,5570,3027,1549,710,262,22
E05013711,St Peter's & Canalside,E09000019,Islington,5473,2869,1593,711,270,30
E05013712,Tollington,E09000019,Islington,6207,2885,1929,954,398,41
E05013713,Tufnell Park,E09000019,Islington,5524,2534,1769,880,303,38
E05009388,Abingdon,E09000020,Kensington and Chelsea,3893,2276,1171,324,106,16
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,4171,2453,1231,355,111,21
E05009390,Campden,E09000020,Kensington and Chelsea,3825,2484,1031,249,56,5
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,3686,1624,1197,604,223,38
E05009392,Colville,E09000020,Kensington and Chelsea,4342,1964,1343,753,239,43
E05009393,Courtfield,E09000020,Kensington and Chelsea,4120,2488,1198,305,104,25
E05009394,Dalgarno,E09000020,Kensington and Chelsea,2723,914,945,613,229,22
E05009395,Earl's Court,E09000020,Kensington and Chelsea,4667,2291,1539,579,217,41
E05009396,Golborne,E09000020,Kensington and Chelsea,3838,1294,1324,814,362,44
E05009397,Holland,E09000020,Kensington and Chelsea,3919,2189,1154,423,133,20
E05009398,Norland,E09000020,Kensington and Chelsea,2578,1540,685,266,70,17
E05009399,Notting Dale,E09000020,Kensington and Chelsea,3754,1227,1245,814,427,41
E05009400,Pembridge,E09000020,Kensington and Chelsea,2667,1569,810,240,42,6
E05009401,Queen's Gate,E09000020,Kensington and Chelsea,3572,2281,1036,208,46,1
E05009402,Redcliffe,E09000020,Kensington and Chelsea,4398,2637,1252,350,126,33
E05009403,Royal Hospital,E09000020,Kensington and Chelsea,3911,2386,1082,329,100,14
E05009404,St. Helen's,E09000020,Kensington and Chelsea,2806,1287,857,440,192,30
E05009405,Stanley,E09000020,Kensington and Chelsea,4045,2278,1145,457,145,20
E05013928,Alexandra,E09000021,Kingston upon Thames,2157,1283,655,186,30,3
E05013929,Berrylands,E09000021,Kingston upon Thames,2695,1539,837,266,48,5
E05013930,Canbury Gardens,E09000021,Kingston upon Thames,3334,2071,912,283,60,8
E05013931,Chessington South & Malden Rushett,E09000021,Kingston upon Thames,3811,1990,1270,461,88,2
E05013932,Coombe Hill,E09000021,Kingston upon Thames,2671,1599,825,204,40,3
E05013933,Coombe Vale,E09000021,Kingston upon Thames,3777,2216,1159,339,62,1
E05013934,Green Lane & St James,E09000021,Kingston upon Thames,2372,1179,752,337,100,4
E05013935,Hook & Chessington North,E09000021,Kingston upon Thames,4025,2006,1391,511,111,6
E05013936,King George's & Sunray,E09000021,Kingston upon Thames,2112,1102,724,248,37,1
E05013937,Kingston Gate,E09000021,Kingston upon Thames,4287,2546,1223,426,88,4
E05013938,Kingston Town,E09000021,Kingston upon Thames,4326,2354,1360,456,142,14
E05013939,Motspur Park & Old Malden East,E09000021,Kingston upon Thames,2516,1458,779,243,34,2
E05013940,New Malden Village,E09000021,Kingston upon Thames,3812,2108,1180,428,87,9
E05013941,Norbiton,E09000021,Kingston upon Thames,4125,1921,1367,641,188,8
E05013942,Old Malden,E09000021,Kingston upon Thames,2478,1309,811,312,45,1
E05013943,St Mark's & Seething Wells,E09000021,Kingston upon Thames,5328,3313,1461,460,78,16
E05013944,Surbiton Hill,E09000021,Kingston upon Thames,5021,2798,1518,534,151,20
E05013945,Tolworth,E09000021,Kingston upon Thames,4139,2244,1292,484,115,4
E05013946,Tudor,E09000021,Kingston upon Thames,2638,1624,759,215,38,2
E05014095,Brixton Acre Lane,E09000022,Lambeth,6673,3562,2058,765,262,26
E05014096,Brixton North,E09000022,Lambeth,6671,2716,2316,1233,370,36
E05014097,Brixton Rush Common,E09000022,Lambeth,6154,2997,1970,938,234,15
E05014098,Brixton Windrush,E09000022,Lambeth,4276,2048,1307,724,175,22
E05014099,Clapham Common & Abbeville,E09000022,Lambeth,4241,2718,1069,368,78,8
E05014100,Clapham East,E09000022,Lambeth,4298,2252,1313,549,182,2
E05014101,Clapham Park,E09000022,Lambeth,5619,2786,1852,760,208,13
E05014102,Clapham Town,E09000022,Lambeth,6930,4088,1904,668,245,25
E05014103,Gipsy Hill,E09000022,Lambeth,4570,2172,1374,742,266,16
E05014104,Herne Hill & Loughborough Junction,E09000022,Lambeth,6495,3292,2037,872,266,28
E05014105,Kennington,E09000022,Lambeth,6705,3126,2200,1046,313,20
E05014106,Knight's Hill,E09000022,Lambeth,6747,3182,2142,1074,323,26
E05014107,Myatt's Fields,E09000022,Lambeth,4702,2011,1591,820,256,24
E05014108,Oval,E09000022,Lambeth,5453,2517,1837,819,257,23
E05014109,St Martin's,E09000022,Lambeth,4350,1995,1449,656,229,21
E05014110,Stockwell East,E09000022,Lambeth,4509,2195,1443,640,212,19
E05014111,Stockwell West & Larkhall,E09000022,Lambeth,6999,2947,2627,1088,303,34
E05014112,Streatham Common & Vale,E09000022,Lambeth,6488,3106,2235,902,218,27
E05014113,Streatham Hill East,E09000022,Lambeth,4170,1991,1352,628,188,11
E05014114,Streatham Hill West & Thornton,E09000022,Lambeth,4491,2702,1252,424,103,10
E05014115,Streatham St Leonard's,E09000022,Lambeth,6636,3294,2151,891,268,32
E05014116,Streatham Wells,E09000022,Lambeth,4131,2206,1291,494,132,8
E05014117,Vauxhall,E09000022,Lambeth,4734,2674,1391,512,147,10
E05014118,Waterloo & South Bank,E09000022,Lambeth,3868,2075,1181,471,130,11
E05014119,West Dulwich,E09000022,Lambeth,4761,2708,1362,539,145,7
E05013714,Bellingham,E09000023,Lewisham,4652,1684,1627,940,364,37
E05013715,Blackheath,E09000023,Lewisham,7291,3844,2241,904,275,27
E05013716,Brockley,E09000023,Lewisham,7551,3914,2340,978,300,19
E05013717,Catford South,E09000023,Lewisham,6276,2937,2102,977,242,18
E05013718,Crofton Park,E09000023,Lewisham,6236,3451,1795,768,209,13
E05013719,Deptford,E09000023,Lewisham,6858,2899,2387,1183,363,26
E05013720,Downham,E09000023,Lewisham,7033,2685,2367,1442,506,33
E05013721,Evelyn,E09000023,Lewisham,6319,2915,2034,1003,333,34
E05013722,Forest Hill,E09000023,Lewisham,6413,3415,1965,795,222,16
E05013723,Grove Park,E09000023,Lewisham,6252,2914,2030,994,292,22
E05013724,Hither Green,E09000023,Lewisham,8019,3657,2673,1266,375,48
E05013725,Ladywell,E09000023,Lewisham,6077,2959,1982,883,238,15
E05013726,Lee Green,E09000023,Lewisham,6140,3299,1820,795,215,11
E05013727,Lewisham Central,E09000023,Lewisham,3891,2055,1235,451,135,15
E05013728,New Cross Gate,E09000023,Lewisham,4157,1570,1550,777,244,16
E05013729,Perry Vale,E09000023,Lewisham,7488,3805,2333,1031,287,32
E05013730,Rushey Green,E09000023,Lewisham,7725,3383,2635,1173,463,71
E05013731,Sydenham,E09000023,Lewisham,7265,3368,2358,1167,330,42
E05013732,Telegraph Hill,E09000023,Lewisham,6758,3038,2286,1052,356,26
E05013810,Abbey,E09000024,Merton,4336,2613,1189,429,95,10
E05013811,Cannon Hill,E09000024,Merton,3569,1978,1138,373,76,4
E05013812,Colliers Wood,E09000024,Merton,4765,2643,1462,519,127,14
E05013813,Cricket Green,E09000024,Merton,4377,1740,1579,800,235,23
E05013814,Figge's Marsh,E09000024,Merton,3942,1541,1463,733,188,17
E05013815,Graveney,E09000024,Merton,4163,2028,1439,584,103,9
E05013816,Hillside,E09000024,Merton,3883,2482,1061,281,54,5
E05013817,Lavender Fields,E09000024,Merton,4357,2004,1488,671,186,8
E05013818,Longthornton,E09000024,Merton,4084,2015,1381,551,128,9
E05013819,Lower Morden,E09000024,Merton,4158,2192,1379,510,76,1
E05013820,Merton Park,E09000024,Merton,3063,1778,968,278,38,1
E05013821,Pollards Hill,E09000024,Merton,3986,1645,1498,646,191,6
E05013822,Ravensbury,E09000024,Merton,3430,1463,1219,568,168,12
E05013823,Raynes Park,E09000024,Merton,5086,3113,1426,447,94,6
E05013824,St Helier,E09000024,Merton,4013,1716,1438,630,214,15
E05013825,Village,E09000024,Merton,4674,3137,1220,262,47,8
E05013826,Wandle,E09000024,Merton,2741,1563,776,306,90,6
E05013827,West Barnes,E09000024,Merton,3842,2301,1112,369,60,0
E05013828,Wimbledon Park,E09000024,Merton,4215,2731,1065,343,67,9
E05013829,Wimbledon Town & Dundonald,E09000024,Merton,5010,3369,1258,335,45,3
E05013904,Beckton,E09000025,Newham,5297,2055,1888,1013,323,18
E05013905,Boleyn,E09000025,Newham,4696,1687,1754,920,310,25
E05013906,Canning Town North,E09000025,Newham,3848,1492,1314,746,275,21
E05013907,Canning Town South,E09000025,Newham,2783,1327,846,449,152,9
E05013908,Custom House,E09000025,Newham,6214,2340,2197,1189,456,32
E05013909,East Ham,E09000025,Newham,4257,1324,1658,927,324,24
E05013910,East Ham South,E09000025,Newham,5304,1796,2035,1098,355,20
E05013911,Forest Gate North,E09000025,Newham,3748,1587,1302,651,194,14
E05013912,Forest Gate South,E09000025,Newham,5712,2013,2143,1136,390,30
E05013913,Green Street East,E09000025,Newham,4378,1317,1742,992,312,15
E05013914,Green Street West,E09000025,Newham,4175,1272,1605,978,305,15
E05013915,Little Ilford,E09000025,Newham,5238,1552,2087,1158,413,28
E05013916,Manor Park,E09000025,Newham,4691,1521,1818,1003,329,20
E05013917,Maryland,E09000025,Newham,4630,1779,1710,883,240,18
E05013918,Plaistow North,E09000025,Newham,5535,1763,2111,1192,428,41
E05013919,Plaistow South,E09000025,Newham,4309,1558,1641,823,264,23
E05013920,Plaistow West & Canning Town East,E09000025,Newham,5864,1873,2263,1248,437,43
E05013921,Plashet,E09000025,Newham,2946,897,1123,667,244,15
E05013922,Royal Albert,E09000025,Newham,3856,1732,1340,575,197,12
E05013923,Royal Victoria,E09000025,Newham,6745,4420,1755,432,135,3
E05013924,Stratford,E09000025,Newham,6814,3580,2116,830,262,26
E05013925,Stratford Olympic Park,E09000025,Newham,4509,3099,998,299,108,5
E05013926,Wall End,E09000025,Newham,4616,1531,1806,991,274,14
E05013927,West Ham,E09000025,Newham,5336,1890,2051,1008,362,25
E05011234,Aldborough,E09000026,Redbridge,5018,2363,1759,724,162,10
E05011235,Barkingside,E09000026,Redbridge,4853,2298,1746,671,123,15
E05011236,Bridge,E09000026,Redbridge,5247,2708,1695,673,165,6
E05011237,Chadwell,E09000026,Redbridge,5429,2476,1938,800,205,10
E05011238,Churchfields,E09000026,Redbridge,6177,3295,1960,707,201,14
E05011239,Clayhall,E09000026,Redbridge,4014,1908,1423,549,131,3
E05011240,Clementswood,E09000026,Redbridge,3774,1365,1416,777,204,12
E05011241,Cranbrook,E09000026,Redbridge,3975,1757,1467,628,117,6
E05011242,Fairlop,E09000026,Redbridge,5266,2561,1780,729,186,10
E05011243,Fullwell,E09000026,Redbridge,5385,2403,1965,805,207,5
E05011244,Goodmayes,E09000026,Redbridge,4685,1833,1830,799,211,12
E05011245,Hainault,E09000026,Redbridge,5747,2436,1955,999,330,27
E05011246,Ilford Town,E09000026,Redbridge,4035,1515,1547,744,209,20
E05011247,Loxford,E09000026,Redbridge,4518,1582,1712,926,275,23
E05011248,Mayfield,E09000026,Redbridge,4345,1869,1559,739,167,11
E05011249,Monkhams,E09000026,Redbridge,3734,2163,1178,345,43,5
E05011250,Newbury,E09000026,Redbridge,4275,1827,1539,689,193,27
E05011251,Seven Kings,E09000026,Redbridge,4613,1885,1719,769,227,13
E05011252,South Woodford,E09000026,Redbridge,5014,2878,1532,504,89,11
E05011253,Valentines,E09000026,Redbridge,4825,1908,1825,835,235,22
E05011254,Wanstead Park,E09000026,Redbridge,3086,1689,978,338,73,8
E05011255,Wanstead Village,E09000026,Redbridge,5689,3262,1739,556,124,8
E05013774,Barnes,E09000027,Richmond upon Thames,4320,2713,1133,366,102,6
E05013775,East Sheen,E09000027,Richmond upon Thames,4116,2748,1108,209,45,6
E05013776,Fulwell & Hampton Hill,E09000027,Richmond upon Thames,4447,2785,1246,330,81,5
E05013777,"Ham, Petersham & Richmond Riverside",E09000027,Richmond upon Thames,4391,2492,1292,458,128,21
E05013778,Hampton,E09000027,Richmond upon Thames,4141,2501,1148,403,81,8
E05013779,Hampton North,E09000027,Richmond upon Thames,4217,2099,1359,574,178,7
E05013780,Hampton Wick & South Teddington,E09000027,Richmond upon Thames,4637,2788,1306,429,108,6
E05013781,Heathfield,E09000027,Richmond upon Thames,3750,1724,1299,584,132,11
E05013782,Kew,E09000027,Richmond upon Thames,4993,3272,1286,350,82,3
E05013783,Mortlake & Barnes Common,E09000027,Richmond upon Thames,5136,3194,1360,450,126,6
E05013784,North Richmond,E09000027,Richmond upon Thames,4639,2871,1274,399,80,15
E05013785,St Margarets & North Twickenham,E09000027,Richmond upon Thames,4696,3169,1232,246,45,4
E05013786,South Richmond,E09000027,Richmond upon Thames,5044,3262,1342,345,86,9
E05013787,South Twickenham,E09000027,Richmond upon Thames,4259,2758,1091,361,48,1
E05013788,Teddington,E09000027,Richmond upon Thames,4716,3005,1270,358,75,8
E05013789,Twickenham Riverside,E09000027,Richmond upon Thames,4979,3182,1386,341,68,2
E05013790,West Twickenham,E09000027,Richmond upon Thames,4231,2531,1196,378,122,4
E05013791,Whitton,E09000027,Richmond upon Thames,4028,2176,1308,431,106,7
E05011095,Borough & Bankside,E09000028,Southwark,4248,2364,1232,496,148,8
E05011096,Camberwell Green,E09000028,Southwark,6684,2816,2345,1158,346,19
E05011097,Champion Hill,E09000028,Southwark,3940,2030,1213,528,158,11
E05011098,Chaucer,E09000028,Southwark,6233,2982,2072,868,293,18
E05011099,Dulwich Hill,E09000028,Southwark,3924,2263,1117,409,126,9
E05011100,Dulwich Village,E09000028,Southwark,3718,2418,1005,231,58,6
E05011101,Dulwich Wood,E09000028,Southwark,4208,2258,1259,515,168,8
E05011102,Faraday,E09000028,Southwark,4784,1805,1789,933,249,8
E05011103,Goose Green,E09000028,Southwark,5954,3595,1584,609,158,8
E05011104,London Bridge & West Bermondsey,E09000028,Southwark,7135,3996,1990,844,282,23
E05011105,Newington,E09000028,Southwark,5996,2392,2096,1097,389,22
E05011106,North Bermondsey,E09000028,Southwark,7244,3703,2308,904,315,14
E05011107,North Walworth,E09000028,Southwark,7081,3460,2282,1011,296,32
E05011108,Nunhead & Queen's Road,E09000028,Southwark,6677,2820,2187,1221,402,47
E05011109,Old Kent Road,E09000028,Southwark,7225,2599,2606,1479,505,36
E05011110,Peckham,E09000028,Southwark,5774,2187,2048,1147,377,15
E05011111,Peckham Rye,E09000028,Southwark,4030,2160,1201,516,140,13
E05011112,Rotherhithe,E09000028,Southwark,6824,3372,2173,926,327,26
E05011113,Rye Lane,E09000028,Southwark,6155,2956,1948,942,294,15
E05011114,St George's,E09000028,Southwark,3500,1866,1061,419,142,12
E05011115,St Giles,E09000028,Southwark,6645,3116,2215,970,321,23
E05011116,South Bermondsey,E09000028,Southwark,6876,2829,2387,1195,436,29
E05011117,Surrey Docks,E09000028,Southwark,5951,3531,1692,581,139,8
E05013754,Beddington,E09000029,Sutton,4123,2142,1354,510,111,6
E05013755,Belmont,E09000029,Sutton,4736,2654,1456,493,121,12
E05013756,Carshalton Central,E09000029,Sutton,4680,2661,1441,464,101,13
E05013757,Carshalton South & Clockhouse,E09000029,Sutton,3650,2074,1137,369,68,2
E05013758,Cheam,E09000029,Sutton,4098,2350,1302,372,72,2
E05013759,Hackbridge,E09000029,Sutton,2865,1591,866,321,85,2
E05013760,North Cheam,E09000029,Sutton,4349,2371,1428,455,90,5
E05013761,St Helier East,E09000029,Sutton,3109,1166,1062,654,216,11
E05013762,St Helier West,E09000029,Sutton,4449,1640,1639,873,277,20
E05013763,South Beddington & Roundshaw,E09000029,Sutton,4033,1785,1386,647,204,11
E05013764,Stonecot,E09000029,Sutton,2791,1422,984,315,69,1
E05013765,Sutton Central,E09000029,Sutton,5327,2452,1880,757,209,29
E05013766,Sutton North,E09000029,Sutton,4252,2137,1455,556,103,1
E05013767,Sutton South,E09000029,Sutton,5582,2862,1892,667,143,18
E05013768,Sutton West & East Cheam,E09000029,Sutton,4692,2520,1526,534,106,6
E05013769,The Wrythe,E09000029,Sutton,4152,2067,1332,575,167,11
E05013770,Wallington North,E09000029,Sutton,4879,2465,1651,602,145,16
E05013771,Wallington South,E09000029,Sutton,4712,2222,1639,664,174,13
E05013772,Worcester Park North,E09000029,Sutton,3159,1758,974,352,70,5
E05013773,Worcester Park South,E09000029,Sutton,2732,1573,848,281,29,1
E05009317,Bethnal Green,E09000030,Tower Hamlets,7370,2898,2519,1379,531,43
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,9694,5391,2974,929,366,34
E05009319,Bow East,E09000030,Tower Hamlets,8429,4234,2426,1280,450,39
E05009320,Bow West,E09000030,Tower Hamlets,5280,2387,1707,876,284,26
E05009321,Bromley North,E09000030,Tower Hamlets,4421,1784,1458,813,332,34
E05009322,Bromley South,E09000030,Tower Hamlets,5139,2185,1673,895,365,21
E05009323,Canary Wharf,E09000030,Tower Hamlets,8515,4957,2462,781,294,21
E05009324,Island Gardens,E09000030,Tower Hamlets,5972,3023,1897,813,229,10
E05009325,Lansbury,E09000030,Tower Hamlets,7533,3009,2470,1440,588,26
E05009326,Limehouse,E09000030,Tower Hamlets,2995,1725,849,304,110,7
E05009327,Mile End,E09000030,Tower Hamlets,7861,3374,2545,1410,502,30
E05009328,Poplar,E09000030,Tower Hamlets,2825,1085,987,528,208,17
E05009329,St Dunstan's,E09000030,Tower Hamlets,4618,1762,1524,912,400,20
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,5801,3527,1622,504,141,7
E05009331,St Peter's,E09000030,Tower Hamlets,7498,3210,2397,1276,567,48
E05009332,Shadwell,E09000030,Tower Hamlets,4384,1502,1556,921,379,26
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,5014,2312,1571,789,319,23
E05009334,Stepney Green,E09000030,Tower Hamlets,4359,1416,1574,1007,342,20
E05009335,Weavers,E09000030,Tower Hamlets,5439,2478,1688,882,354,37
E05009336,Whitechapel,E09000030,Tower Hamlets,7376,3672,2432,946,291,35
E05013882,Cann Hall,E09000031,Waltham Forest,5564,2155,1954,1086,337,32
E05013883,Cathall,E09000031,Waltham Forest,3843,1477,1417,732,194,23
E05013884,Chapel End,E09000031,Waltham Forest,5023,2519,1647,670,177,10
E05013885,Chingford Green,E09000031,Waltham Forest,4787,2344,1588,693,152,10
E05013886,Endlebury,E09000031,Waltham Forest,3409,1587,1205,494,111,12
E05013887,Forest,E09000031,Waltham Forest,5586,2270,1959,1037,288,32
E05013888,Grove Green,E09000031,Waltham Forest,5502,2724,1798,776,191,13
E05013889,Hale End & Highams Park South,E09000031,Waltham Forest,3412,1764,1054,459,125,10
E05013890,Hatch Lane & Highams Park North,E09000031,Waltham Forest,5088,2383,1664,787,229,25
E05013891,High Street,E09000031,Waltham Forest,4166,1952,1343,674,181,16
E05013892,Higham Hill,E09000031,Waltham Forest,4907,2031,1643,928,283,22
E05013893,Hoe Street,E09000031,Waltham Forest,5687,2494,1877,1012,280,24
E05013894,Larkswood,E09000031,Waltham Forest,5053,2251,1703,854,220,25
E05013895,Lea Bridge,E09000031,Waltham Forest,5420,2296,1911,931,254,28
E05013896,Leyton,E09000031,Waltham Forest,5056,2032,1807,894,311,12
E05013897,Leytonstone,E09000031,Waltham Forest,4858,2387,1652,638,173,8
E05013898,Markhouse,E09000031,Waltham Forest,3499,1500,1203,601,177,18
E05013899,St James,E09000031,Waltham Forest,4865,2552,1500,629,177,7
E05013900,Upper Walthamstow,E09000031,Waltham Forest,3011,1392,1024,448,132,15
E05013901,Valley,E09000031,Waltham Forest,5081,2201,1796,830,237,17
E05013902,William Morris,E09000031,Waltham Forest,5524,2665,1851,782,214,12
E05013903,Wood Street,E09000031,Waltham Forest,3559,1600,1183,581,183,12
E05014009,Balham,E09000032,Wandsworth,7354,4724,1882,577,152,19
E05014010,Battersea Park,E09000032,Wandsworth,8417,4417,2602,1060,305,33
E05014011,East Putney,E09000032,Wandsworth,7597,4734,2039,652,150,22
E05014012,Falconbrook,E09000032,Wandsworth,5080,2285,1565,887,301,42
E05014013,Furzedown,E09000032,Wandsworth,6705,3245,2183,989,264,24
E05014014,Lavender,E09000032,Wandsworth,5478,3680,1329,370,93,6
E05014015,Nine Elms,E09000032,Wandsworth,2852,1960,705,151,33,3
E05014016,Northcote,E09000032,Wandsworth,4810,3414,1057,269,64,6
E05014017,Roehampton,E09000032,Wandsworth,6830,2730,2416,1240,403,41
E05014018,St Mary's,E09000032,Wandsworth,6918,4402,1808,562,136,10
E05014019,Shaftesbury & Queenstown,E09000032,Wandsworth,6938,3619,2007,963,325,24
E05014020,South Balham,E09000032,Wandsworth,4536,2688,1253,455,130,10
E05014021,Southfields,E09000032,Wandsworth,5133,3436,1259,347,82,9
E05014022,Thamesfield,E09000032,Wandsworth,7270,4995,1721,448,98,8
E05014023,Tooting Bec,E09000032,Wandsworth,6637,3713,1869,807,223,25
E05014024,Tooting Broadway,E09000032,Wandsworth,7038,3651,2161,911,297,18
E05014025,Trinity,E09000032,Wandsworth,4802,3026,1243,415,106,12
E05014026,Wandle,E09000032,Wandsworth,4491,2678,1244,442,120,7
E05014027,Wandsworth Common,E09000032,Wandsworth,6502,4217,1595,526,152,12
E05014028,Wandsworth Town,E09000032,Wandsworth,8234,5131,2099,754,222,28
E05014029,West Hill,E09000032,Wandsworth,6595,3411,2104,812,243,25
E05014030,West Putney,E09000032,Wandsworth,7180,4026,2097,812,222,23
E05013792,Abbey Road,E09000033,Westminster,6062,3425,1786,594,235,22
E05013793,Bayswater,E09000033,Westminster,6124,3307,1876,669,235,37
E05013794,Church Street,E09000033,Westminster,4552,1234,1484,1182,590,62
E05013795,Harrow Road,E09000033,Westminster,5018,2106,1615,866,390,41
E05013796,Hyde Park,E09000033,Westminster,4623,2441,1386,537,215,44
E05013797,Knightsbridge & Belgravia,E09000033,Westminster,5007,3117,1333,416,130,11
E05013798,Lancaster Gate,E09000033,Westminster,5645,2897,1875,641,196,36
E05013799,Little Venice,E09000033,Westminster,4472,2319,1278,535,298,42
E05013800,Maida Vale,E09000033,Westminster,4986,2502,1450,715,286,33
E05013801,Marylebone,E09000033,Westminster,6328,3963,1722,495,127,21
E05013802,Pimlico North,E09000033,Westminster,5212,2710,1580,644,244,34
E05013803,Pimlico South,E09000033,Westminster,4964,2103,1663,829,315,54
E05013804,Queen's Park,E09000033,Westminster,5101,1819,1669,1058,522,33
E05013805,Regent's Park,E09000033,Westminster,5663,3268,1649,564,158,24
E05013806,St James's,E09000033,Westminster,5169,2923,1485,557,166,38
E05013807,Vincent Square,E09000033,Westminster,5167,2547,1565,748,265,42
E05013808,West End,E09000033,Westminster,6076,3262,1912,662,196,44
E05013809,Westbourne,E09000033,Westminster,4686,1626,1511,1038,447,64
