ward code,ward name,local authority code,local authority name,All usual residents,Females,Males,Lives in a household,Lives in a communal establishment,Area; Hectares,Density; persons per hectare,,,
E09000001,City of London (aggregated),E09000001,City of London,8579,3862,4717,8379,210,,,,,
E05014053,Abbey,E09000002,Barking and Dagenham,3965,1945,2020,3959,0,,,,,
E05014054,Alibon,E09000002,Barking and Dagenham,9890,5130,4760,9809,70,,,,,
E05014055,Barking Riverside,E09000002,Barking and Dagenham,10060,5222,4838,10031,31,,,,,
E05014056,Beam,E09000002,Barking and Dagenham,8355,4295,4060,8260,98,,,,,
E05014057,Becontree,E09000002,Barking and Dagenham,9790,4972,4818,9728,63,,,,,
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,13827,7205,6622,13765,58,,,,,
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,8745,4485,4260,8573,175,,,,,
E05014060,Eastbury,E09000002,Barking and Dagenham,15729,8029,7700,15724,6,,,,,
E05014061,Gascoigne,E09000002,Barking and Dagenham,10714,5473,5241,10691,29,,,,,
E05014062,Goresbrook,E09000002,Barking and Dagenham,13693,7170,6523,13590,103,,,,,
E05014063,Heath,E09000002,Barking and Dagenham,9119,4775,4344,9015,105,,,,,
E05014064,Longbridge,E09000002,Barking and Dagenham,13294,6608,6686,13291,18,,,,,
E05014065,Mayesbrook,E09000002,Barking and Dagenham,15619,8008,7611,15615,3,,,,,
E05014066,Northbury,E09000002,Barking and Dagenham,13187,6561,6626,13143,39,,,,,
E05014067,Parsloes,E09000002,Barking and Dagenham,15165,7767,7398,15149,13,,,,,
E05014068,Thames View,E09000002,Barking and Dagenham,5649,2877,2772,5579,66,,,,,
E05014069,Valence,E09000002,Barking and Dagenham,15242,7940,7302,15239,0,,,,,
E05014070,Village,E09000002,Barking and Dagenham,12648,6578,6070,12615,36,,,,,
E05014071,Whalebone,E09000002,Barking and Dagenham,14198,7249,6949,14184,11,,,,,
E05013628,Barnet Vale,E09000003,Barnet,17071,8873,8198,17050,20,,,,,
E05013629,Brunswick Park,E09000003,Barnet,16141,8273,7868,16090,53,,,,,
E05013630,Burnt Oak,E09000003,Barnet,21575,11152,10423,21521,62,,,,,
E05013631,Childs Hill,E09000003,Barnet,19392,10002,9390,19196,199,,,,,
E05013632,Colindale North,E09000003,Barnet,12727,6598,6129,12417,313,,,,,
E05013633,Colindale South,E09000003,Barnet,19001,9620,9381,18668,344,,,,,
E05013634,Cricklewood,E09000003,Barnet,10413,5353,5060,10258,149,,,,,
E05013635,East Barnet,E09000003,Barnet,18099,9266,8833,18064,28,,,,,
E05013636,East Finchley,E09000003,Barnet,16324,8544,7780,16249,79,,,,,
E05013637,Edgware,E09000003,Barnet,19770,10189,9581,19677,97,,,,,
E05013638,Edgwarebury,E09000003,Barnet,12344,6350,5994,12340,4,,,,,
E05013639,Finchley Church End,E09000003,Barnet,18835,9873,8962,18745,97,,,,,
E05013640,Friern Barnet,E09000003,Barnet,19063,9958,9105,18800,267,,,,,
E05013641,Garden Suburb,E09000003,Barnet,12679,6793,5886,12669,3,,,,,
E05013642,Golders Green,E09000003,Barnet,15142,7644,7498,15047,89,,,,,
E05013643,Hendon,E09000003,Barnet,21977,11094,10883,21867,113,,,,,
E05013644,High Barnet,E09000003,Barnet,12007,6159,5848,11815,196,,,,,
E05013645,Mill Hill,E09000003,Barnet,17825,9248,8577,17570,251,,,,,
E05013646,Totteridge & Woodside,E09000003,Barnet,14904,7647,7257,14631,278,,,,,
E05013647,Underhill,E09000003,Barnet,12297,6435,5862,12187,109,,,,,
E05013648,West Finchley,E09000003,Barnet,19406,10001,9405,19257,147,,,,,
E05013649,West Hendon,E09000003,Barnet,17255,8769,8486,17170,85,,,,,
E05013650,Whetstone,E09000003,Barnet,10889,5684,5205,10734,166,,,,,
E05013651,Woodhouse,E09000003,Barnet,14165,7295,6870,13931,246,,,,,
E05011217,Barnehurst,E09000004,Bexley,11717,6099,5618,11644,77,,,,,
E05011218,Belvedere,E09000004,Bexley,17561,9016,8545,17560,7,,,,,
E05011219,Bexleyheath,E09000004,Bexley,15908,8325,7583,15821,93,,,,,
E05011220,Blackfen & Lamorbey,E09000004,Bexley,16126,8315,7811,16021,92,,,,,
E05011221,Blendon & Penhill,E09000004,Bexley,15573,8056,7517,15569,1,,,,,
E05011222,Crayford,E09000004,Bexley,15945,8201,7744,15886,56,,,,,
E05011223,Crook Log,E09000004,Bexley,15888,8264,7624,15776,110,,,,,
E05011224,East Wickham,E09000004,Bexley,16194,8361,7833,16123,73,,,,,
E05011225,Erith,E09000004,Bexley,12827,6775,6052,12787,36,,,,,
E05011226,Falconwood & Welling,E09000004,Bexley,16593,8514,8079,16596,0,,,,,
E05011227,Longlands,E09000004,Bexley,10032,5194,4838,9856,183,,,,,
E05011228,Northumberland Heath,E09000004,Bexley,11054,5713,5341,11032,14,,,,,
E05011229,St Mary's & St James,E09000004,Bexley,10851,5618,5233,10828,25,,,,,
E05011230,Sidcup,E09000004,Bexley,15725,8400,7325,15387,343,,,,,
E05011231,Slade Green & Northend,E09000004,Bexley,12879,6808,6071,12878,4,,,,,
E05011232,Thamesmead East,E09000004,Bexley,15917,8227,7690,15840,93,,,,,
E05011233,West Heath,E09000004,Bexley,15677,8059,7618,15681,0,,,,,
E05013496,Alperton,E09000005,Brent,15010,7453,7557,15008,1,,,,,
E05013497,Barnhill,E09000005,Brent,11414,5921,5493,11255,160,,,,,
E05013498,Brondesbury Park,E09000005,Brent,13602,6953,6649,13479,129,,,,,
E05013499,Cricklewood & Mapesbury,E09000005,Brent,13958,7100,6858,13941,18,,,,,
E05013500,Dollis Hill,E09000005,Brent,21644,10923,10721,21465,187,,,,,
E05013501,Harlesden & Kensal Green,E09000005,Brent,20101,10642,9459,20088,12,,,,,
E05013502,Kenton,E09000005,Brent,17715,8951,8764,17491,213,,,,,
E05013503,Kilburn,E09000005,Brent,17207,8976,8231,17160,46,,,,,
E05013504,Kingsbury,E09000005,Brent,11434,5726,5708,11368,67,,,,,
E05013505,Northwick Park,E09000005,Brent,12122,6241,5881,11775,351,,,,,
E05013506,Preston,E09000005,Brent,12451,6103,6348,12391,63,,,,,
E05013507,Queens Park,E09000005,Brent,17104,9144,7960,17091,15,,,,,
E05013508,Queensbury,E09000005,Brent,16864,8338,8526,16813,55,,,,,
E05013509,Roundwood,E09000005,Brent,16655,8904,7751,16566,84,,,,,
E05013510,Stonebridge,E09000005,Brent,20209,10607,9602,20017,190,,,,,
E05013511,Sudbury,E09000005,Brent,13796,6818,6978,13739,58,,,,,
E05013512,Tokyngton,E09000005,Brent,9917,4875,5042,9618,304,,,,,
E05013513,Welsh Harp,E09000005,Brent,18236,9206,9030,18200,39,,,,,
E05013514,Wembley Central,E09000005,Brent,18013,8827,9186,17889,121,,,,,
E05013515,Wembley Hill,E09000005,Brent,15542,7652,7890,15465,68,,,,,
E05013516,Wembley Park,E09000005,Brent,7636,3976,3660,5824,1813,,,,,
E05013517,Willesden Green,E09000005,Brent,19185,9775,9410,19176,13,,,,,
E05013987,Beckenham Town & Copers Cope,E09000006,Bromley,16055,8363,7692,15937,101,,,,,
E05013988,Bickley & Sundridge,E09000006,Bromley,17815,9397,8418,17473,338,,,,,
E05013989,Biggin Hill,E09000006,Bromley,10919,5630,5289,10935,0,,,,,
E05013990,Bromley Common & Holwood,E09000006,Bromley,18958,9839,9119,18935,10,,,,,
E05013991,Bromley Town,E09000006,Bromley,15826,8120,7706,15720,96,,,,,
E05013992,Chelsfield,E09000006,Bromley,11520,5923,5597,11483,42,,,,,
E05013993,Chislehurst,E09000006,Bromley,15542,8013,7529,15105,438,,,,,
E05013994,Clock House,E09000006,Bromley,17118,8925,8193,17032,96,,,,,
E05013995,Crystal Palace & Anerley,E09000006,Bromley,12073,6376,5697,11928,146,,,,,
E05013996,Darwin,E09000006,Bromley,5504,2791,2713,5441,65,,,,,
E05013997,Farnborough & Crofton,E09000006,Bromley,17781,9303,8478,17749,21,,,,,
E05013998,Hayes & Coney Hall,E09000006,Bromley,15770,8093,7677,15698,77,,,,,
E05013999,Kelsey & Eden Park,E09000006,Bromley,15468,8011,7457,15367,98,,,,,
E05014000,Mottingham,E09000006,Bromley,11512,6134,5378,11474,40,,,,,
E05014001,Orpington,E09000006,Bromley,12269,6386,5883,12268,8,,,,,
E05014002,Penge & Cator,E09000006,Bromley,19089,10059,9030,19061,39,,,,,
E05014003,Petts Wood & Knoll,E09000006,Bromley,16860,8659,8201,16857,0,,,,,
E05014004,Plaistow,E09000006,Bromley,12829,6774,6055,12769,59,,,,,
E05014005,Shortlands & Park Langley,E09000006,Bromley,16680,8564,8116,16646,33,,,,,
E05014006,St Mary Cray,E09000006,Bromley,18657,9834,8823,18648,7,,,,,
E05014007,St Paul's Cray,E09000006,Bromley,16971,8942,8029,16963,18,,,,,
E05014008,West Wickham,E09000006,Bromley,14768,7567,7201,14715,56,,,,,
E05013652,Belsize,E09000007,Camden,12114,6378,5736,11985,123,,,,,
E05013653,Bloomsbury,E09000007,Camden,11367,5883,5484,8474,2895,,,,,
E05013654,Camden Square,E09000007,Camden,7087,3706,3381,7049,43,,,,,
E05013655,Camden Town,E09000007,Camden,6810,3455,3355,6707,103,,,,,
E05013656,Fortune Green,E09000007,Camden,11570,6014,5556,11519,39,,,,,
E05013657,Frognal,E09000007,Camden,7731,4075,3656,7716,12,,,,,
E05013658,Gospel Oak,E09000007,Camden,11717,6268,5449,11666,71,,,,,
E05013659,Hampstead Town,E09000007,Camden,8092,4228,3864,8078,10,,,,,
E05013660,Haverstock,E09000007,Camden,11979,6430,5549,11877,107,,,,,
E05013661,Highgate,E09000007,Camden,10230,5456,4774,10188,38,,,,,
E05013662,Holborn & Covent Garden,E09000007,Camden,10324,5117,5207,10096,231,,,,,
E05013663,Kentish Town North,E09000007,Camden,7300,3867,3433,7210,85,,,,,
E05013664,Kentish Town South,E09000007,Camden,10305,5655,4650,9916,389,,,,,
E05013665,Kilburn,E09000007,Camden,12010,6435,5575,11944,54,,,,,
E05013666,King's Cross,E09000007,Camden,11452,5968,5484,9483,1982,,,,,
E05013667,Primrose Hill,E09000007,Camden,12441,6608,5833,12370,63,,,,,
E05013668,Regent's Park,E09000007,Camden,11927,6331,5596,11506,420,,,,,
E05013669,St Pancras & Somers Town,E09000007,Camden,12462,6553,5909,11865,587,,,,,
E05013670,South Hampstead,E09000007,Camden,12035,6362,5673,11977,56,,,,,
E05013671,West Hampstead,E09000007,Camden,11191,5865,5326,11069,120,,,,,
E05011462,Addiscombe East,E09000008,Croydon,11793,5981,5812,11733,62,,,,,
E05011463,Addiscombe West,E09000008,Croydon,15661,8049,7612,15594,66,,,,,
E05011464,Bensham Manor,E09000008,Croydon,16932,8724,8208,16790,143,,,,,
E05011465,Broad Green,E09000008,Croydon,20079,10296,9783,19915,157,,,,,
E05011466,Coulsdon Town,E09000008,Croydon,15268,7798,7470,15166,100,,,,,
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,16286,8522,7764,16097,192,,,,,
E05011468,Fairfield,E09000008,Croydon,15754,7842,7912,15573,169,,,,,
E05011469,Kenley,E09000008,Croydon,10407,5339,5068,10151,255,,,,,
E05011470,New Addington North,E09000008,Croydon,11143,6078,5065,11132,1,,,,,
E05011471,New Addington South,E09000008,Croydon,11190,5863,5327,11123,72,,,,,
E05011472,Norbury & Pollards Hill,E09000008,Croydon,12467,6555,5912,12375,104,,,,,
E05011473,Norbury Park,E09000008,Croydon,10558,5457,5101,10516,42,,,,,
E05011474,Old Coulsdon,E09000008,Croydon,9760,5107,4653,9742,13,,,,,
E05011475,Park Hill & Whitgift,E09000008,Croydon,5763,2912,2851,5686,80,,,,,
E05011476,Purley & Woodcote,E09000008,Croydon,16551,8568,7983,16075,479,,,,,
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,10516,5411,5105,10484,36,,,,,
E05011478,Sanderstead,E09000008,Croydon,15503,8031,7472,15373,139,,,,,
E05011479,Selhurst,E09000008,Croydon,12928,6790,6138,12838,93,,,,,
E05011480,Selsdon & Addington Village,E09000008,Croydon,10317,5378,4939,10210,108,,,,,
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,9702,5094,4608,9697,1,,,,,
E05011482,Shirley North,E09000008,Croydon,15331,8147,7184,15319,6,,,,,
E05011483,Shirley South,E09000008,Croydon,10785,5729,5056,10700,87,,,,,
E05011484,South Croydon,E09000008,Croydon,17190,8808,8382,16943,260,,,,,
E05011485,South Norwood,E09000008,Croydon,16519,8715,7804,16362,166,,,,,
E05011486,Thornton Heath,E09000008,Croydon,17989,9505,8484,17867,110,,,,,
E05011487,Waddon,E09000008,Croydon,18492,9578,8914,18222,267,,,,,
E05011488,West Thornton,E09000008,Croydon,18768,9745,9023,18636,122,,,,,
E05011489,Woodside,E09000008,Croydon,17064,9062,8002,17036,16,,,,,
E05013518,Central Greenford,E09000009,Ealing,13963,7010,6953,13922,42,,,,,
E05013519,Dormers Wells,E09000009,Ealing,15186,7658,7528,15058,124,,,,,
E05013520,Ealing Broadway,E09000009,Ealing,14231,7219,7012,14089,147,,,,,
E05013521,Ealing Common,E09000009,Ealing,15782,8043,7739,15570,207,,,,,
E05013522,East Acton,E09000009,Ealing,16017,8240,7777,15992,28,,,,,
E05013523,Greenford Broadway,E09000009,Ealing,17030,8785,8245,16933,93,,,,,
E05013524,Hanger Hill,E09000009,Ealing,16818,8478,8340,16738,89,,,,,
E05013525,Hanwell Broadway,E09000009,Ealing,15099,7874,7225,14983,123,,,,,
E05013526,Lady Margaret,E09000009,Ealing,16133,7993,8140,15923,208,,,,,
E05013527,North Acton,E09000009,Ealing,18371,9326,9045,16335,2034,,,,,
E05013528,North Greenford,E09000009,Ealing,16135,8130,8005,16133,0,,,,,
E05013529,North Hanwell,E09000009,Ealing,15043,7756,7287,14948,84,,,,,
E05013530,Northfield,E09000009,Ealing,14456,7488,6968,14442,3,,,,,
E05013531,Northolt Mandeville,E09000009,Ealing,17361,8896,8465,17354,23,,,,,
E05013532,Northolt West End,E09000009,Ealing,16530,8451,8079,16521,21,,,,,
E05013533,Norwood Green,E09000009,Ealing,15455,7715,7740,15146,310,,,,,
E05013534,Perivale,E09000009,Ealing,16214,7935,8279,16171,41,,,,,
E05013535,Pitshanger,E09000009,Ealing,15166,7915,7251,15017,148,,,,,
E05013536,South Acton,E09000009,Ealing,17107,8850,8257,16900,201,,,,,
E05013537,Southall Broadway,E09000009,Ealing,10964,5250,5714,10876,91,,,,,
E05013538,Southall Green,E09000009,Ealing,16331,7889,8442,16283,49,,,,,
E05013539,Southall West,E09000009,Ealing,6805,3304,3501,6803,1,,,,,
E05013540,Southfield,E09000009,Ealing,16239,8548,7691,16227,10,,,,,
E05013541,Walpole,E09000009,Ealing,14656,7441,7215,14523,129,,,,,
E05013672,Arnos Grove,E09000010,Enfield,8878,4494,4384,8824,57,,,,,
E05013673,Bowes,E09000010,Enfield,10711,5426,5285,10699,15,,,,,
E05013674,Brimsdown,E09000010,Enfield,16290,8535,7755,16250,35,,,,,
E05013675,Bullsmoor,E09000010,Enfield,11374,5991,5383,11269,104,,,,,
E05013676,Bush Hill Park,E09000010,Enfield,13007,6676,6331,12827,187,,,,,
E05013677,Carterhatch,E09000010,Enfield,12808,6805,6003,12745,61,,,,,
E05013678,Cockfosters,E09000010,Enfield,10155,5320,4835,9984,172,,,,,
E05013679,Edmonton Green,E09000010,Enfield,17052,9100,7952,17026,27,,,,,
E05013680,Enfield Lock,E09000010,Enfield,17870,9527,8343,17836,39,,,,,
E05013681,Grange Park,E09000010,Enfield,8598,4434,4164,8559,35,,,,,
E05013682,Haselbury,E09000010,Enfield,18314,9540,8774,18236,61,,,,,
E05013683,Highfield,E09000010,Enfield,9547,4832,4715,9517,28,,,,,
E05013684,Jubilee,E09000010,Enfield,16375,8575,7800,16245,134,,,,,
E05013685,Lower Edmonton,E09000010,Enfield,16518,8810,7708,16492,29,,,,,
E05013686,New Southgate,E09000010,Enfield,11119,5690,5429,11092,35,,,,,
E05013687,Oakwood,E09000010,Enfield,8692,4539,4153,8643,59,,,,,
E05013688,Palmers Green,E09000010,Enfield,10837,5525,5312,10676,153,,,,,
E05013689,Ponders End,E09000010,Enfield,13499,7162,6337,13476,20,,,,,
E05013690,Ridgeway,E09000010,Enfield,12787,6779,6008,12733,51,,,,,
E05013691,Southbury,E09000010,Enfield,15339,8097,7242,15309,33,,,,,
E05013692,Southgate,E09000010,Enfield,15215,7853,7362,15073,147,,,,,
E05013693,Town,E09000010,Enfield,13330,7008,6322,13276,54,,,,,
E05013694,Upper Edmonton,E09000010,Enfield,16830,8768,8062,16710,118,,,,,
E05013695,Whitewebbs,E09000010,Enfield,14387,7600,6787,14281,113,,,,,
E05013696,Winchmore Hill,E09000010,Enfield,10441,5371,5070,10339,99,,,,,
E05014072,Abbey Wood,E09000011,Greenwich,17421,8898,8523,17282,135,,,,,
E05014073,Blackheath Westcombe,E09000011,Greenwich,14965,7823,7142,14824,132,,,,,
E05014074,Charlton Hornfair,E09000011,Greenwich,12551,6471,6080,12520,29,,,,,
E05014075,Charlton Village & Riverside,E09000011,Greenwich,10299,5277,5022,10225,70,,,,,
E05014076,East Greenwich,E09000011,Greenwich,14424,7376,7048,14406,13,,,,,
E05014077,Eltham Page,E09000011,Greenwich,9947,5135,4812,9937,10,,,,,
E05014078,Eltham Park & Progress,E09000011,Greenwich,10445,5454,4991,10440,0,,,,,
E05014079,Eltham Town & Avery Hill,E09000011,Greenwich,15532,8171,7361,14923,600,,,,,
E05014080,Greenwich Creekside,E09000011,Greenwich,11213,5860,5353,10450,745,,,,,
E05014081,Greenwich Park,E09000011,Greenwich,10353,5344,5009,9982,376,,,,,
E05014082,Greenwich Peninsula,E09000011,Greenwich,11481,5804,5677,11263,218,,,,,
E05014083,Kidbrooke Park,E09000011,Greenwich,10153,5239,4914,10107,50,,,,,
E05014084,Kidbrooke Village & Sutcliffe,E09000011,Greenwich,5941,3130,2811,5894,52,,,,,
E05014085,Middle Park & Horn Park,E09000011,Greenwich,9749,5182,4567,9710,39,,,,,
E05014086,"Mottingham, Coldharbour & New Eltham",E09000011,Greenwich,14512,7375,7137,14433,77,,,,,
E05014087,Plumstead & Glyndon,E09000011,Greenwich,21781,11054,10727,21695,83,,,,,
E05014088,Plumstead Common,E09000011,Greenwich,15622,8164,7458,15534,79,,,,,
E05014089,Shooters Hill,E09000011,Greenwich,11878,6101,5777,11821,71,,,,,
E05014090,Thamesmead Moorings,E09000011,Greenwich,12392,6416,5976,12313,75,,,,,
E05014091,West Thamesmead,E09000011,Greenwich,11801,5449,6352,10450,1346,,,,,
E05014092,Woolwich Arsenal,E09000011,Greenwich,12221,6196,6025,12223,5,,,,,
E05014093,Woolwich Common,E09000011,Greenwich,13069,6825,6244,12933,136,,,,,
E05014094,Woolwich Dockyard,E09000011,Greenwich,11384,5874,5510,11298,77,,,,,
E05009367,Brownswood,E09000012,Hackney,8988,4705,4283,8955,40,,,,,
E05009368,Cazenove,E09000012,Hackney,15211,7880,7331,15210,0,,,,,
E05009369,Clissold,E09000012,Hackney,12497,6676,5821,12498,5,,,,,
